product_id,product_name,category,subcategory,unit_price,cost_price
P0001,Cookware Set Classic,Home & Kitchen,Cookware,1479.0,1017.08
P0002,Kurti Mini,Apparel,Women's Clothing,1919.0,1150.76
P0003,Hand Wash Lite,Beauty & Personal Care,Personal Hygiene,329.0,160.88
P0004,Cotton T-Shirt Plus,Apparel,Men's Clothing,439.0,292.61
P0005,Laptop Sleeve Lite,Electronics,Laptop Accessories,3129.0,1961.94
P0006,Keyboard Plus,Electronics,Laptop Accessories,409.0,283.22
P0007,Kids T-Shirt Set Plus,Apparel,Kids Wear,2139.0,1076.1
P0008,Foundation Plus,Beauty & Personal Care,Makeup,359.0,178.01
P0009,Fitness Band,Electronics,Smart Watches,1739.0,1010.69
P0010,Kids Frock Lite,Apparel,Kids Wear,1259.0,658.21
P0011,Track Pants Lite,Apparel,Men's Clothing,1659.0,804.41
P0012,Action Camera Lite,Electronics,Cameras,1679.0,909.33
P0013,Hooded Jacket Lite,Apparel,Winter Wear,1309.0,846.0
P0014,Phone Case Mini,Electronics,Mobile Accessories,1249.0,722.62
P0015,Fitness Band Plus,Electronics,Smart Watches,3089.0,1425.92
P0016,Skipping Rope Pro,Sports & Fitness,Gym Equipment,2519.0,1240.94
P0017,Storage Box Set Classic,Home & Kitchen,Storage & Organization,469.0,322.31
P0018,Kids Shorts Mini,Apparel,Kids Wear,2429.0,1583.95
P0019,Pillow Set Plus,Home & Kitchen,Bedding,1249.0,592.55
P0020,Wall Clock Pro,Home and Kitchen,Home Decor,2479.0,1388.33
P0021,Wool Sweater Mini,Apparel,Winter Wear,579.0,332.23
P0022,Formal Shirt,Apparel,Men's Clothing,379.0,256.71
P0023,Deodorant,Beauty & Personal Care,Fragrances,469.0,288.73
P0024,Wireless Mouse Plus,Electronics,Laptop Accessories,1769.0,1026.05
P0025,Toaster Pro,Home & Kitchen,Small Appliances,2039.0,1011.78
P0026,Over-Ear Headphones Mini,Electronics,Headphones,4869.0,3134.58
P0027,Shoe Rack Lite,Home & Kitchen,Storage & Organization,3309.0,2229.3
P0028,Hooded Jacket Classic,Apparel,Winter Wear,1619.0,1101.68
P0029,Gaming Headset,Electronics,Headphones,719.0,358.78
P0030,Face Wash Mini,Beauty & Personal Care,Skincare,169.0,89.8
P0031,Tripod Stand,Electronics,Cameras,2139.0,1107.65
P0032,Hooded Jacket Lite,APPAREL,Winter Wear,2129.0,1147.93
